MeasurementTime,Measurement time error,ego_X,ego_Y,ego_yaw,ego_speed,ego_acc,ego_s,ego_d,eHMI_green_on,eHMI_red_on,HV_X,HV_Y,HV_yaw,HV_v_km/h,HV_ax,HV_ay,Straight_SteeringWheel,Straight_AcceleratorPedal,Straight_BrakePedal,K1.NumPad1,K1.NumPad2,time_cost[s],reward[%]
5300.00,0.00,121.493408,18.120000,-3.141593,8.000000,0.000000,0.000000,-21.493408,0.000000,0.000000,-91.493408,14.496456,-0.020839,14.242969,2.049168,0.016435,-0.213991,0.487206,-1.039255,0.000000,0.000000,0.000000,100.000000
5400.00,0.00,121.086044,18.120000,-3.141593,8.000000,0.000000,0.000000,-21.086044,0.000000,0.000000,-91.086044,14.487553,-0.022575,14.970465,2.002040,0.016270,-0.212107,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
5500.00,0.00,120.658743,18.120000,-3.141593,8.000000,0.000000,0.000000,-20.658743,0.000000,0.000000,-90.658743,14.477462,-0.024335,15.683021,1.963303,0.017454,-0.200175,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
5600.00,0.00,120.211846,18.120000,-3.141593,8.000000,0.000000,0.000000,-20.211846,0.000000,0.000000,-90.211846,14.466144,-0.025991,16.385020,1.940411,0.021280,-0.173485,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
5700.00,0.00,119.745496,18.120000,-3.141593,8.000000,0.000000,0.000000,-19.745496,0.000000,0.000000,-89.745496,14.453621,-0.027412,17.087608,1.951254,0.028006,-0.137061,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
5800.00,0.00,119.259558,18.120000,-3.141593,8.000000,0.000000,0.000000,-19.259558,0.000000,0.000000,-89.259558,14.439967,-0.028524,17.796640,1.979031,0.036148,-0.099538,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
5900.01,0.01,118.753857,18.120000,-3.141593,8.000000,0.000000,0.000000,-18.753857,0.000000,0.000000,-88.753857,14.425279,-0.029374,18.502587,1.805084,0.036637,-0.076616,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
6000.00,0.00,118.229835,18.120000,-3.141593,8.000000,0.000000,0.000000,-18.229835,0.000000,0.000000,-88.229835,14.409637,-0.030189,19.139568,1.784147,0.036108,-0.082582,0.487206,-1.039255,0.000000,0.000000,0.000000,100.000000
6100.00,0.00,117.688043,18.120000,-3.141593,8.000000,0.000000,0.000000,-17.688043,0.000000,0.000000,-87.688043,14.392960,-0.031223,19.781243,1.775293,0.031216,-0.105661,0.483016,-1.039255,0.000000,0.000000,0.000000,100.000000
6200.00,0.00,117.128881,18.120000,-3.141593,8.000000,0.000000,0.000000,-17.128881,0.000000,0.000000,-87.128881,14.375074,-0.032540,20.357798,1.249607,0.009670,-0.124030,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
6300.01,0.01,116.556417,18.120000,-3.141593,8.000000,0.000000,0.000000,-16.556417,0.000000,0.000000,-86.556417,14.355965,-0.033945,20.807331,1.244470,0.010197,-0.117907,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
6400.00,0.00,115.971557,18.120000,-3.141593,8.000000,0.000000,0.000000,-15.971557,0.000000,0.000000,-85.971557,14.335680,-0.035137,21.253297,1.239779,0.017458,-0.087606,0.487206,-1.039255,0.000000,0.000000,0.000000,100.000000
6500.00,0.00,115.374383,18.120000,-3.141593,8.000000,0.000000,0.000000,-15.374383,0.000000,0.000000,-85.374383,14.314411,-0.035852,21.696231,1.222370,0.030002,-0.039721,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
6600.00,0.00,114.764979,18.120000,-3.141593,8.000000,0.000000,0.000000,-14.764979,0.000000,0.000000,-84.764979,14.292468,-0.036022,22.135636,1.218195,0.042865,0.003297,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
6700.00,0.00,114.143429,18.120000,-3.141593,8.000000,0.000000,0.000000,-14.143429,0.000000,0.000000,-84.143429,14.270163,-0.035695,22.571524,1.205189,0.054254,0.042704,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
6800.01,0.01,113.509802,18.120000,-3.141593,8.000000,0.000000,0.000000,-13.509802,0.000000,0.000000,-83.509802,14.247829,-0.034819,23.004726,1.192213,0.067843,0.089804,0.483016,-1.039255,0.000000,0.000000,0.000000,100.000000
6900.00,0.00,112.864189,18.120000,-3.141593,8.000000,0.000000,0.000000,-12.864189,0.000000,0.000000,-82.864189,14.225897,-0.033246,23.434460,1.193185,0.085439,0.144440,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
7000.00,0.00,112.206661,18.120000,-3.141593,8.000000,0.000000,0.000000,-12.206661,0.000000,0.000000,-82.206661,14.204862,-0.031005,23.860455,1.180255,0.099736,0.185574,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
7100.00,0.00,111.537285,18.120000,-3.141593,8.000000,0.000000,0.000000,-11.537285,0.000000,0.000000,-81.537285,14.185107,-0.028425,24.283272,1.166875,0.103425,0.192639,0.483016,-1.039255,0.000000,0.000000,0.000000,100.000000
7200.00,0.00,110.856093,18.120000,-3.141593,8.000000,0.000000,0.000000,-10.856093,0.000000,0.000000,-80.856093,14.166726,-0.026002,24.708960,1.181742,0.094491,0.163437,0.490000,-1.039255,0.000000,0.000000,0.000000,100.000000
7300.00,0.00,110.163183,18.120000,-3.141593,8.000000,0.000000,0.000000,-10.163183,0.000000,0.000000,-80.163183,14.149481,-0.024206,25.126065,1.153332,0.072097,0.102521,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
7400.00,0.00,109.458693,18.120000,-3.141593,8.000000,0.000000,0.000000,-9.458693,0.000000,0.000000,-79.458693,14.132827,-0.023366,25.541240,1.144051,0.043403,0.030772,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
7500.00,0.00,108.742750,18.120000,-3.141593,8.000000,0.000000,0.000000,-8.742750,0.000000,0.000000,-78.742750,14.116128,-0.023372,25.951871,1.139988,0.021778,-0.016328,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
7600.01,0.01,108.015452,18.120000,-3.141593,8.000000,0.000000,0.000000,-8.015452,0.000000,0.000000,-78.015452,14.098992,-0.023692,26.359748,1.126409,0.017109,-0.020724,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
7700.01,0.01,107.276782,18.120000,-3.141593,8.000000,0.000000,0.000000,-7.276782,0.000000,0.000000,-77.276782,14.081407,-0.023834,26.769533,1.136736,0.025370,0.000314,0.487206,-1.039255,0.000000,0.000000,0.000000,100.000000
7800.00,0.00,106.526755,18.120000,-3.141593,8.000000,0.000000,0.000000,-6.526755,0.000000,0.000000,-76.526755,14.063611,-0.023585,27.180317,1.151077,0.037915,0.028103,0.490000,-1.039255,0.000000,0.000000,0.000000,100.000000
7900.00,0.00,105.765253,18.120000,-3.141593,8.000000,0.000000,0.000000,-5.765253,0.000000,0.000000,-75.765253,14.045935,-0.022862,27.592211,1.140165,0.052591,0.062957,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
8000.00,0.00,104.992314,18.120000,-3.141593,8.000000,0.000000,0.000000,-4.992314,0.000000,0.000000,-74.992314,14.028843,-0.021469,28.003988,1.139462,0.073894,0.110528,0.484413,-1.039255,0.000000,0.000000,0.000000,100.000000
8100.00,0.00,104.207877,18.120000,-3.141593,8.000000,0.000000,0.000000,-4.207877,0.000000,0.000000,-74.207877,14.012948,-0.019299,28.418706,1.148901,0.096639,0.156529,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
8200.01,0.01,103.411925,18.120000,-3.141593,8.000000,0.000000,0.000000,-3.411925,0.000000,0.000000,-73.411925,13.998845,-0.016532,28.831152,1.152941,0.111380,0.182905,0.485810,-1.039255,0.000000,0.000000,0.000000,100.000000
